DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Mar-26,EQ,323.65,325.35,318.15,326.35,319.8,319.3,320.77,391.65,254.35,7556076,"2,42,37,45,763.35",85268
12-Mar-26,EQ,318.7,330.35,314,325.05,327,326.35,324.74,391.65,254.35,11176171,"3,62,93,16,262.10",105080
11-Mar-26,EQ,326,328.9,322.75,325.9,323.8,325.05,325.86,391.65,254.35,13909498,"4,53,25,91,261.40",178039
10-Mar-26,EQ,336.5,342.2,324.35,331.15,327.05,325.9,327.7,391.65,254.35,15916729,"5,21,59,20,028.35",196015
09-Mar-26,EQ,341.35,341.45,322.8,352.75,330.05,331.15,331.31,391.65,254.35,34756111,"11,51,50,12,948.65",338634
06-Mar-26,EQ,362.05,362.05,351.2,360.35,352.95,352.75,354.74,391.65,234.01,10536915,"3,73,78,50,357.35",96921
05-Mar-26,EQ,356.65,362.5,351.1,356.4,360.5,360.35,357.58,391.65,234.01,12170764,"4,35,20,77,402.65",126657
04-Mar-26,EQ,365,367.85,352.7,374.8,354.75,356.4,359.71,391.65,234.01,13534628,"4,86,85,10,751.90",185281
02-Mar-26,EQ,368,376.95,367.1,385.4,376,374.8,373.34,391.65,234.01,14939455,"5,57,74,66,810.70",189231
27-Feb-26,EQ,386.65,389.9,382.5,386,384.7,385.4,386.3,391.65,234.01,9020770,"3,48,47,43,022.80",94124
26-Feb-26,EQ,380,387,378.55,381.05,385.8,386,382.86,391.65,234.01,4800186,"1,83,78,16,862.10",64938
25-Feb-26,EQ,376.1,381.9,374,374.45,380.9,381.05,378.6,391.65,234.01,7003584,"2,65,15,49,000.25",86088
24-Feb-26,EQ,370,376,369,372.1,374.9,374.45,373.17,391.65,234.01,7718539,"2,88,03,38,164.15",84588
23-Feb-26,EQ,370,376.7,366.65,366.3,373.5,372.1,372.22,391.65,234.01,7760029,"2,88,84,29,032.90",65917
20-Feb-26,EQ,364.85,367.9,362.3,367.65,365,366.3,365.2,391.65,234.01,6928709,"2,53,03,91,444.40",118473
19-Feb-26,EQ,377.45,378.85,365,380.9,365.9,367.65,371.36,391.65,234.01,5506935,"2,04,50,78,603.25",81706
18-Feb-26,EQ,377,381.4,375.75,374.95,380.6,380.9,379,391.65,234.01,2527223,"95,78,10,591.85",40141
17-Feb-26,EQ,374.35,375.8,366.55,374.35,375,374.95,371.53,391.65,234.01,2646518,"98,32,67,197.45",40326
16-Feb-26,EQ,372.65,375.3,369.05,374.1,374.95,374.35,371.83,391.65,234.01,1709180,"63,55,17,434.10",31294
13-Feb-26,EQ,377.45,378.4,372.95,377.7,374.3,374.1,375.06,391.65,234.01,2696607,"1,01,13,97,749.25",44143
12-Feb-26,EQ,387.05,389.5,373.55,387.6,377.9,377.7,379.32,391.65,234.01,6352805,"2,40,97,73,516.15",94295
11-Feb-26,EQ,388,390.9,386,386.35,388.2,387.6,387.76,391.65,234.01,5156493,"1,99,94,59,164.50",70500
10-Feb-26,EQ,386,388,381.9,388.3,384.65,386.35,384.76,391.65,234.01,3114005,"1,19,81,53,069.90",51357
09-Feb-26,EQ,386.5,389.5,382.9,386.35,385.8,388.3,387.38,391.65,234.01,5171617,"2,00,33,86,277.35",62107
06-Feb-26,EQ,382.5,386.9,381.35,382.05,384.55,386.35,384.73,391.65,234.01,7988984,"3,07,36,39,554.40",164932
05-Feb-26,EQ,386,391.65,378.35,382.45,381.2,382.05,383.51,391.65,234.01,8446290,"3,23,92,21,595.55",117196
04-Feb-26,EQ,373,383.2,370.35,373.45,381.85,382.45,380.64,388.15,234.01,8138573,"3,09,78,92,859.90",96178
03-Feb-26,EQ,372,374.7,358.3,366.7,372.3,373.45,367.8,388.15,234.01,12411365,"4,56,49,11,587.45",170018
02-Feb-26,EQ,353,367.6,351,359.45,367.15,366.7,361.7,388.15,234.01,12038292,"4,35,42,89,424.80",143429
